condition,task,metric,lower_is_better,seed,steps,valid,buggy,best_score,ns,has_valid
baseline,CodeRetrievalCodeXGlueMRR,MRR,False,3,50,2,48,0.0003,0.00031752560612800486,True
baseline,CodeRetrievalCodeXGlueMRR,MRR,False,4,50,0,50,,0.0,False
baseline,CodeRetrievalCodeXGlueMRR,MRR,False,5,50,3,47,0.0014,0.0014826019465820402,True
abl,CodeRetrievalCodeXGlueMRR,MRR,False,1,18,4,14,0.262,0.3215114843004376,True
abl,CodeRetrievalCodeXGlueMRR,MRR,False,2,25,8,17,0.2799,0.34749571609691315,True
abl,CodeRetrievalCodeXGlueMRR,MRR,False,3,21,4,17,0.2521,0.3074096898331183,True
nat,CodeRetrievalCodeXGlueMRR,MRR,False,1,22,11,11,0.2816,0.3499969920028196,True
nat,CodeRetrievalCodeXGlueMRR,MRR,False,2,22,7,15,0.3018,0.38017954086832073,True
nat,CodeRetrievalCodeXGlueMRR,MRR,False,3,30,5,25,0.1144,0.12856788885867015,True
baseline,CoreferenceResolutionSuperGLUEWSCAccuracy,Accuracy,False,3,50,20,30,0.6346153846153846,0.19608656633073163,True
baseline,CoreferenceResolutionSuperGLUEWSCAccuracy,Accuracy,False,4,50,19,31,0.6538461538461539,0.21529044083166443,True
baseline,CoreferenceResolutionSuperGLUEWSCAccuracy,Accuracy,False,5,50,17,33,0.6442307692307693,0.20555873187009974,True
abl,CoreferenceResolutionSuperGLUEWSCAccuracy,Accuracy,False,1,50,5,45,0.7019230769230769,0.268401893309137,True
abl,CoreferenceResolutionSuperGLUEWSCAccuracy,Accuracy,False,2,50,29,21,0.7115384615384616,0.2800483516919858,True
abl,CoreferenceResolutionSuperGLUEWSCAccuracy,Accuracy,False,3,50,14,36,0.7884615384615384,0.3902107787421663,True
nat,CoreferenceResolutionSuperGLUEWSCAccuracy,Accuracy,False,1,50,27,23,0.6634615384615384,0.22529631820319246,True
nat,CoreferenceResolutionSuperGLUEWSCAccuracy,Accuracy,False,2,48,20,28,0.6538461538461539,0.21529044083166443,True
nat,CoreferenceResolutionSuperGLUEWSCAccuracy,Accuracy,False,3,48,20,28,0.6538461538461539,0.21529044083166443,True
baseline,CoreferenceResolutionWinograndeAccuracy,Accuracy,False,3,21,1,20,0.5272296764009471,0.09331603236076473,True
baseline,CoreferenceResolutionWinograndeAccuracy,Accuracy,False,4,17,1,16,0.4554064719810576,-0.015817565490075514,True
baseline,CoreferenceResolutionWinograndeAccuracy,Accuracy,False,5,32,1,31,0.4940805051302289,0.04102337678931325,True
abl,CoreferenceResolutionWinograndeAccuracy,Accuracy,False,1,19,9,10,0.7963693764798737,0.743273251603642,True
abl,CoreferenceResolutionWinograndeAccuracy,Accuracy,False,2,37,5,32,0.7940015785319653,0.7343524133980293,True
abl,CoreferenceResolutionWinograndeAccuracy,Accuracy,False,3,22,5,17,0.7719021310181531,0.6557170523897674,True
nat,CoreferenceResolutionWinograndeAccuracy,Accuracy,False,1,48,5,43,0.7995264404104183,0.7553304330124383,True
nat,CoreferenceResolutionWinograndeAccuracy,Accuracy,False,2,46,11,35,0.6274664561957379,0.27718535928616306,True
nat,CoreferenceResolutionWinograndeAccuracy,Accuracy,False,3,35,11,24,0.8153117600631413,0.8186153820685369,True
baseline,CvMolecularPropertyPredictionQm9MeanAbsoluteError,MeanAbsoluteError,True,3,50,0,50,,0.0,False
baseline,CvMolecularPropertyPredictionQm9MeanAbsoluteError,MeanAbsoluteError,True,4,50,0,50,,0.0,False
baseline,CvMolecularPropertyPredictionQm9MeanAbsoluteError,MeanAbsoluteError,True,5,41,0,41,,0.0,False
abl,CvMolecularPropertyPredictionQm9MeanAbsoluteError,MeanAbsoluteError,True,1,14,3,11,0.27752453088760376,0.7050120072786086,True
abl,CvMolecularPropertyPredictionQm9MeanAbsoluteError,MeanAbsoluteError,True,2,22,4,18,0.08800019323825836,0.8362648829780613,True
abl,CvMolecularPropertyPredictionQm9MeanAbsoluteError,MeanAbsoluteError,True,3,16,4,12,0.06093720719218254,0.8782603825382381,True
nat,CvMolecularPropertyPredictionQm9MeanAbsoluteError,MeanAbsoluteError,True,1,32,13,19,0.3183548152446747,0.6893269400887989,True
nat,CvMolecularPropertyPredictionQm9MeanAbsoluteError,MeanAbsoluteError,True,2,21,4,17,0.046975407749414444,0.9079969914247337,True
nat,CvMolecularPropertyPredictionQm9MeanAbsoluteError,MeanAbsoluteError,True,3,24,6,18,0.48087239265441895,0.6421958830384712,True
baseline,GraphRegressionZincMae,MAE,True,3,24,1,23,1.4996028031206907,0.29415752216317737,True
baseline,GraphRegressionZincMae,MAE,True,4,31,1,30,1.4955478691963224,0.29458415093013507,True
baseline,GraphRegressionZincMae,MAE,True,5,23,0,23,,0.0,False
abl,GraphRegressionZincMae,MAE,True,1,29,4,25,0.11337382553283241,0.701027436546564,True
abl,GraphRegressionZincMae,MAE,True,2,25,5,20,0.18839624933992813,0.6210078820234886,True
abl,GraphRegressionZincMae,MAE,True,3,31,4,27,0.1002622608890406,0.7203921398215707,True
nat,GraphRegressionZincMae,MAE,True,1,40,5,35,0.23010874878350823,0.589494524689683,True
nat,GraphRegressionZincMae,MAE,True,2,36,7,29,0.06157826012642929,0.7972011188345961,True
nat,GraphRegressionZincMae,MAE,True,3,31,1,30,0.10884626994475484,0.7074487715626384,True
baseline,MathQuestionAnsweringSVAMPAccuracy,Accuracy,False,3,25,7,18,0.31666666666666665,0.1337305007739756,True
baseline,MathQuestionAnsweringSVAMPAccuracy,Accuracy,False,4,50,25,25,0.4166666666666667,0.18930010125963673,True
baseline,MathQuestionAnsweringSVAMPAccuracy,Accuracy,False,5,50,17,33,0.38666666666666666,0.1716870757262542,True
abl,MathQuestionAnsweringSVAMPAccuracy,Accuracy,False,1,50,16,34,0.47,0.22297458535686532,True
abl,MathQuestionAnsweringSVAMPAccuracy,Accuracy,False,2,50,12,38,0.35,0.15129458081151098,True
abl,MathQuestionAnsweringSVAMPAccuracy,Accuracy,False,3,50,19,31,0.4766666666666667,0.22742032073062463,True
nat,MathQuestionAnsweringSVAMPAccuracy,Accuracy,False,1,50,27,23,0.42333333333333334,0.19333702392286461,True
nat,MathQuestionAnsweringSVAMPAccuracy,Accuracy,False,2,50,33,17,0.38,0.16789019112597284,True
nat,MathQuestionAnsweringSVAMPAccuracy,Accuracy,False,3,48,22,26,0.39666666666666667,0.17746049458353716,True
baseline,ReadingComprehensionSquadExactMatch,ExactMatch,False,3,45,14,31,0.828476821192053,0.9032283302211727,True
baseline,ReadingComprehensionSquadExactMatch,ExactMatch,False,4,10,2,8,0.6716177861873226,0.5705010311366397,True
baseline,ReadingComprehensionSquadExactMatch,ExactMatch,False,5,23,11,12,0.7634815515610217,0.7386178714031048,True
abl,ReadingComprehensionSquadExactMatch,ExactMatch,False,1,26,3,23,0.6783349101229896,0.5810891793232121,True
abl,ReadingComprehensionSquadExactMatch,ExactMatch,False,2,18,2,16,0.2914853358561968,0.17653544778974647,True
abl,ReadingComprehensionSquadExactMatch,ExactMatch,False,3,31,6,25,0.7626300851466414,0.7367768531367733,True
nat,ReadingComprehensionSquadExactMatch,ExactMatch,False,1,48,12,36,0.7713339640491959,0.7559154491433987,True
nat,ReadingComprehensionSquadExactMatch,ExactMatch,False,2,45,18,27,0.8074739829706717,0.8440494701296241,True
nat,ReadingComprehensionSquadExactMatch,ExactMatch,False,3,35,4,31,0.7247871333964049,0.6609927589736534,True
baseline,SentimentAnalysisYelpReviewFullAccuracy,Accuracy,False,3,7,0,7,,0.0,False
baseline,SentimentAnalysisYelpReviewFullAccuracy,Accuracy,False,4,9,0,9,,0.0,False
baseline,SentimentAnalysisYelpReviewFullAccuracy,Accuracy,False,5,6,0,6,,0.0,False
abl,SentimentAnalysisYelpReviewFullAccuracy,Accuracy,False,1,8,2,6,0.67848,0.715983423236236,True
abl,SentimentAnalysisYelpReviewFullAccuracy,Accuracy,False,2,12,3,9,0.69532,0.757236574621356,True
abl,SentimentAnalysisYelpReviewFullAccuracy,Accuracy,False,3,14,5,9,0.70536,0.7829310026023037,True
nat,SentimentAnalysisYelpReviewFullAccuracy,Accuracy,False,1,40,14,26,0.69922,0.767115473433299,True
nat,SentimentAnalysisYelpReviewFullAccuracy,Accuracy,False,2,25,4,21,0.5753,0.5025595833609177,True
nat,SentimentAnalysisYelpReviewFullAccuracy,Accuracy,False,3,34,20,14,0.69648,0.7601616393431467,True
baseline,TextualClassificationSickAccuracy,Accuracy,False,3,50,24,26,0.9021606196494089,0.9865956898906888,True
baseline,TextualClassificationSickAccuracy,Accuracy,False,4,50,27,23,0.9180595189563799,1.0673093953710298,True
baseline,TextualClassificationSickAccuracy,Accuracy,False,5,50,36,14,0.8999184671830411,0.9762828739071623,True
abl,TextualClassificationSickAccuracy,Accuracy,False,1,50,14,36,0.9258051365674684,1.1125050525623423,True
abl,TextualClassificationSickAccuracy,Accuracy,False,2,31,15,16,0.9282511210762332,1.1277629301206809,True
abl,TextualClassificationSickAccuracy,Accuracy,False,3,50,18,32,0.9227476559315124,1.0941250024292708,True
nat,TextualClassificationSickAccuracy,Accuracy,False,1,39,15,24,0.9194863432531594,1.0753047203326669,True
nat,TextualClassificationSickAccuracy,Accuracy,False,2,50,27,23,0.9209131675499389,1.0834430088467861,True
nat,TextualClassificationSickAccuracy,Accuracy,False,3,50,26,24,0.9251936404402772,1.1087691843309926,True
baseline,TimeSeriesForecastingSolarWeeklyMAE,MAE,True,3,50,2,48,627.7283373630603,0.9791703802711997,True
baseline,TimeSeriesForecastingSolarWeeklyMAE,MAE,True,4,50,1,49,1629.828156958606,0.7464328969191144,True
baseline,TimeSeriesForecastingSolarWeeklyMAE,MAE,True,5,50,1,49,1390.1511836677128,0.7852326448885192,True
abl,TimeSeriesForecastingSolarWeeklyMAE,MAE,True,1,50,30,20,748.0382387481467,0.9363983736729851,True
abl,TimeSeriesForecastingSolarWeeklyMAE,MAE,True,2,50,20,30,717.1479802565166,0.9466852927871847,True
abl,TimeSeriesForecastingSolarWeeklyMAE,MAE,True,3,50,24,26,778.7319123982625,0.9265893455909364,True
nat,TimeSeriesForecastingSolarWeeklyMAE,MAE,True,1,50,37,13,1059.662658633272,0.8514498934502439,True
nat,TimeSeriesForecastingSolarWeeklyMAE,MAE,True,2,48,32,16,791.9685265399986,0.9224779802111978,True
nat,TimeSeriesForecastingSolarWeeklyMAE,MAE,True,3,50,34,16,812.6222908409843,0.9161981030337795,True
